State,ID,Area Path,Work Item Type,Title,Description,Acceptance Criteria,Story Points,Priority,Tags
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Prevent proposal propagation from cascading","As an Implementation Consultant, I want implication to stop after one hop, so that flagging one card does not light up a third of the taxonomy and make the proposals list meaningless.","Derivation reads only the directly-set flag, never an implied one; a directly-proposed card linked to a high-fan-out system process implies that process and no further items; verified against the busiest link node, where none of the sibling cards sharing it are marked.",3,1,"linkage; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Propose a link that does not exist today","As an Implementation Consultant, I want to mark a link itself as proposed, so that a taxonomy gap becomes a concrete recommendation rather than a blank.","The Mapping view edit mode offers a proposed toggle on each link chip; proposed links render dashed and distinct from agreed links; the mapping cell legend counts them separately.",3,2,"mapping; linkage; proposed-scope; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Keep proposed links out of agreed-scope derivation","As an Implementation Consultant, I want a proposed link to have no effect on agreed scope, so that adding a recommendation cannot quietly change the client scope picture.","Proposed links are excluded from the linked-system-id set and from the has-link check; adding one does not lift an item out of auto out-of-scope; the unlinked warning still appears, and reads ""proposed link only"" when a proposed link is the only one present.",3,1,"linkage; scope; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",Feature,"Value-Add Proposals Document","Turns the captured proposals into a client-facing deliverable, while guaranteeing that an Open Box recommendation can never appear in an agreed-scope document by accident.","Proposals are excluded from generated documents unless explicitly included; when included, a dedicated section lists each proposal with its rationale, current state and linked counterparts, under an explicit disclaimer.",,2,"export; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Exclude proposals from generated documents by default","As an Implementation Consultant, I want proposals left out of documents unless I opt in, so that a recommendation never appears in a signed scope document by mistake.","The export options include a Proposed Scope checkbox that defaults to unticked, unlike every other include; with it unticked no proposal content appears in the preview, the Word file or the PDF; the same dataset can therefore produce both an agreed-scope document and a proposals document.",3,1,"export; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Generate a Value-Add Proposals section","As an Implementation Consultant, I want a dedicated proposals section, so that I can present the value-add story to a client as its own deliverable.","With Proposed Scope ticked, the document gains a Value-Add Proposals section grouped by side and module; each entry gives the location, the current state, what Open Box proposes and the rationale; the section opens with a statement that these are recommendations and not agreed scope; the preview and the Word file read identically.",5,1,"export; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Nest linked counterparts under each proposal","As an Implementation Consultant, I want each proposal to list what it touches on the other side, so that one recommendation reads as one item rather than being counted once per link.","Each proposal lists its linked counterparts as supporting detail; link-implied items do not get their own entries; proposed links are marked as such in the list.",2,2,"export; proposed-scope; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",Epic,"Security & Compliance","Keeps the application defensible against the security expectations of client due diligence and of Open Box own ISO/IEC 27001 programme. The app is a static client-side tool with no backend, accounts or personal data, so the meaningful controls are secure development, dependency hygiene and documentation rather than infrastructure hardening.","A current internal assessment exists; no known dependency vulnerabilities; dynamic content is escaped; security policy, licence and secure-development guidance are published in the repository.",,2,"security; compliance; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",Feature,"ISO 27001 Secure Development Baseline","The assessment and remediation work bringing the repository in line with the applicable ISO/IEC 27001:2022 Annex A technological controls, principally A.8.8, A.8.25 to A.8.32.","Annex A gap analysis recorded; identified findings either remediated or consciously accepted; npm audit reports zero vulnerabilities.",,2,"security; compliance; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Produce an internal ISO 27001 Annex A assessment","As Open Box, I want an evidence-based internal assessment of the repository against ISO/IEC 27001:2022 Annex A, so that we can answer client due-diligence questions and prepare for certification without overstating our position.","Assessment covers the applicable Annex A controls with evidence drawn from the repository; states plainly that 27001 certifies an organisation ISMS and not an application, and that the document is a self-assessment rather than a certificate; findings are prioritised with severities.",3,2,"security; compliance; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Resolve known dependency vulnerabilities","As a Developer, I want the dependency tree free of known advisories, so that the supply chain does not become the weakest point of an otherwise low-risk application.","npm audit reports zero vulnerabilities; fixes prefer the minimum patched version over speculative major upgrades; any transitive pin is documented.",3,1,"security; compliance; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Escape all dynamic content written to innerHTML","As a Developer, I want every interpolation of editable content escaped, so that authored taxonomy content cannot inject markup into the application.","Every component writing dynamic content to innerHTML routes it through the shared escape helper; editable free-text fields, including proposal rationales, are covered; verified by rendering a script or image payload and confirming it appears as inert text.",5,1,"security; compliance; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Publish security policy, licence and secure-development guidance","As Open Box, I want the repository to carry its own security documentation, so that contributors and reviewers can see the threat model and the reporting route.","Repository contains a licence, a security policy with a vulnerability-reporting contact, and a secure-development document recording the threat model and secure-coding conventions.",2,2,"security; compliance; MoSCoW-Should"
