Work Item Type,Title,Description,Acceptance Criteria,Story Points,Priority,Tags,Parent
User Story,View vertical/sector detail for a process,"As a Client SME / Reviewer, I want to see sector-specific detail for the verticals I care about, so that the taxonomy reflects my property type.","Given a process has vertical detail
And one or more verticals are selected in the Vertical filter
When I open the process detail panel
Then I see one colour-tagged row per selected sector that has content.",3,2,business-view;MoSCoW-Should,Business Dimensions
User Story,See standards and frameworks on a process,"As a Business Analyst, I want relevant standards/frameworks shown on a process, so that regulatory weight is visible at a glance.","Given a process has standards
When I view its card
Then a standards count chip is shown with the standards on hover
And the detail panel lists each standard.",2,3,business-view;MoSCoW-Could,Business Dimensions
User Story,Filter value streams by market,"As an Implementation Consultant, I want to filter by one or more markets, so that I focus on the client's geographies.","Given the Market filter offers UK, US and EU
When I change the selection
Then the grid and detail panel reflect only the selected markets
And the filter chip shows the current selection summary.",2,2,business-view;filters;MoSCoW-Should,Business Filters
User Story,Filter value streams by vertical,"As an Implementation Consultant, I want to filter by one or more verticals, so that I focus on the client's property types.","Given the Vertical filter offers Retail, Industrial, Office and Residential
When I change the selection
Then cards not relevant to the selected verticals are hidden
And vertical-agnostic cards remain visible.",2,2,business-view;filters;MoSCoW-Should,Business Filters
User Story,Browse the MRI PMX system taxonomy,"As an Implementation Consultant, I want to browse MRI PMX by module, functional area, process and sub-process, so that I can locate system support for a business need.","Given the MRI PMX System view is active
When I select a module tab
Then its functional areas render as columns and processes as cards, with optional sub-processes
And each level is navigable.",3,1,system-view;MoSCoW-Must,MRI PMX Module Taxonomy
User Story,See MRI setup detail for a system process,"As an Implementation Consultant, I want each system process to show its MRI screen/navigation, setup prerequisites and associated screens, so that I can advise on configuration.","Given a system process is selected
When its detail panel opens
Then it shows the MRI screen title/navigation, setup prerequisites and associated screens with descriptions.",3,1,system-view;MoSCoW-Must,MRI PMX Module Taxonomy
User Story,See placeholder modules flagged,"As an Engagement Lead, I want placeholder modules clearly flagged, so that I do not present provisional content as final.","Given a module contains placeholder content (Job Cost, Corporate AR, Budgeting & Forecasting)
When I view that module
Then it is visibly flagged as awaiting SME review.",2,3,system-view;placeholder;MoSCoW-Could,Placeholder Module Flagging
User Story,See linked counterparts in both directions,"As an Implementation Consultant, I want a business process to show the system processes that deliver it and a system process to show the business processes it supports, so that I understand the mapping from either side.","Given a process has links
When I open its detail panel
Then business items list 'Delivered in MRI PMX by' and system items list 'Supports Business Processes'
And each linked counterpart is listed with its breadcrumb.",3,1,linkage;MoSCoW-Must,Business-to-System Links
User Story,Navigate to a linked counterpart,"As an Implementation Consultant, I want to click a linked process, so that I jump to its counterpart in the other view.","Given a linked counterpart is shown in the detail panel
When I click it
Then the app switches to the counterpart's view
And opens the counterpart's detail panel.",3,1,linkage;MoSCoW-Must,Business-to-System Links
User Story,Add a link in Edit Mode,"As a Business Analyst, I want to add a business-system link from within the edit dialog using a searchable picker, so that I can build the mapping during discovery.","Given I am editing an item in Edit Mode
When I open the link editor and search for a counterpart
And select it
Then a link is created between the two items
And it appears in both items' link lists
And the change marks the version dirty for saving.",5,1,linkage;editing;MoSCoW-Must,Link Editing in Edit Mode
User Story,Remove a link in Edit Mode,"As a Business Analyst, I want to remove a link from the edit dialog, so that I can correct the mapping.","Given an item has one or more links
When I remove a link in the edit dialog
Then the link is deleted from both items
And any affected coverage/auto-scope indicators update
And the change marks the version dirty.",3,1,linkage;editing;MoSCoW-Must,Link Editing in Edit Mode
User Story,View the coverage mapping matrix,"As an Engagement Lead, I want a matrix of value-stream groups against MRI PMX modules showing link counts, so that I can see overall coverage at a glance.","Given links exist
When I open the Mapping view
Then a matrix shows value-stream groups as rows and MRI PMX modules as columns
And each populated cell shows its link count and a coverage colour
And a summary shows how many groups are mapped.",5,2,mapping;MoSCoW-Should,Coverage Mapping Matrix & Gap Analysis
User Story,Drill into a matrix cell,"As an Engagement Lead, I want to click a matrix cell, so that I can see the specific business-system pairs behind the count.","Given a populated matrix cell
When I click it
Then the detail panel lists each business-system pair with coverage and navigable links.",3,2,mapping;MoSCoW-Should,Coverage Mapping Matrix & Gap Analysis
User Story,Identify coverage gaps,"As an Engagement Lead, I want value-stream groups with no system counterpart flagged, so that I can show where the ERP does not support the business.","Given a value-stream group has no links to any system module
When I view the matrix
Then that group's row is flagged as unmapped
And the summary reflects the number of unmapped groups.",3,2,mapping;gap-analysis;MoSCoW-Should,Coverage Mapping Matrix & Gap Analysis
User Story,Tag a value-stream process with system coverage,"As a Business Analyst, I want to tag a value-stream process Full, Partial or Outside, so that I record how much of it lives in MRI PMX.","Given I am in Edit Mode on the Value Streams view
When I click a process's coverage badge
Then it cycles through Untagged -> Full -> Partial -> Outside
And the tag is shown on the card and in the detail panel
And the change marks the version dirty.",3,1,coverage;MoSCoW-Must,Item-Level System Coverage Tag
User Story,See context for a coverage tag on hover,"As a Client SME / Reviewer, I want a tooltip explaining each coverage tag, so that I understand what Full, Partial and Outside mean.","Given a process has a coverage tag
When I hover over the tag on the card, in the panel, in the matrix, or in the edit dialog
Then a tooltip shows the tag label and an explanation of its meaning.",2,2,coverage;MoSCoW-Should,Item-Level System Coverage Tag
User Story,Be warned when a covered process is unlinked,"As a Business Analyst, I want a warning when a Full or Partial process has no system link, so that I remember to map it (without being blocked).","Given a process is tagged Full or Partial
And it has no system link
When I view the card or its detail panel
Then a 'link needed' warning is shown
And I am still allowed to save the version.",3,1,coverage;MoSCoW-Must,Item-Level System Coverage Tag
User Story,Filter value streams by system coverage,"As an Implementation Consultant, I want a System Coverage filter beside Market and Vertical, so that I can focus on Full, Partial, Outside or Untagged processes.","Given the System Coverage filter offers Full, Partial, Outside and Untagged
When I change the selection
Then only processes whose coverage matches are shown
And a process is shown if it or one of its sub-processes matches.",3,2,coverage;filters;MoSCoW-Should,Coverage Filter
User Story,Bulk-tag a column's coverage,"As a Business Analyst, I want to tag every process in a value-stream column at once, so that I can set coverage efficiently.","Given I am in Edit Mode on the Value Streams view
When I open a column's 'Tag all' dropdown and choose Full, Partial, Outside or Clear
Then every process and sub-process in that column takes that coverage (or is cleared)
And the change is undoable and marks the version dirty.",3,3,coverage;editing;MoSCoW-Could,Bulk Coverage Tagging
User Story,Tag a system process's scope,"As an Implementation Consultant, I want to tag a system process Core, Custom or Out of Scope, so that scope decisions are captured.","Given I am in Edit Mode on the MRI PMX System view
When I cycle a process's scope tag
Then the process shows the scope as a badge and in the panel
And out-of-scope items are visually dimmed.",3,2,scope;MoSCoW-Should,System Scope Tagging
User Story,Auto-derive out-of-scope for unlinked processes,"As an Implementation Consultant, I want system processes with no business link to default to Out of Scope, so that unused system areas are obvious without manual tagging.","Given a system process has no manual scope tag
And it is not linked to any value-stream process
When I view it
Then it is shown as Out of Scope with an 'auto' indicator
And a manual tag overrides the auto state.",5,2,scope;MoSCoW-Should,System Scope Tagging
User Story,Bulk-tag a system column's scope,"As an Implementation Consultant, I want to tag a whole system column Core/Custom/Out of Scope or clear it, so that I can scope efficiently.","Given I am in Edit Mode on the MRI PMX System view
When I choose a scope from a column's 'Tag all' dropdown
Then every process and sub-process in that column takes that scope (or is cleared)
And the change is undoable.",3,3,scope;editing;MoSCoW-Could,System Scope Tagging
User Story,Filter the system view by scope,"As an Engagement Lead, I want to filter by scope with live counts, so that I can review only in-scope or out-of-scope work.","Given the scope filter offers Core, Custom, Out of Scope and Untagged
When I change the selection
Then non-matching processes and empty columns are hidden
And live counts reflect the current selection
And collapse state is respected during filtering.",3,2,scope;filters;MoSCoW-Should,Scope Filter & Empty-Column Handling
User Story,"Add, edit and remove business items","As a Business Analyst, I want to add, edit and remove domains, processes and sub-processes in the Value Streams view, so that I can tailor the taxonomy to the client.","Given I am in Edit Mode on the Value Streams view
When I add, edit or remove an item
Then the change is applied to the grid
And the business edit form captures description, activities, market, vertical, standards, coverage, client note and links
And the change is undoable.",5,1,editing;business-view;MoSCoW-Must,Edit Mode Content Authoring
User Story,"Add, edit and remove system items","As an Implementation Consultant, I want to add, edit and remove columns, processes and sub-processes in the MRI PMX System view, so that I can tailor system content.","Given I am in Edit Mode on the MRI PMX System view
When I add, edit or remove an item
Then the change is applied to the grid
And the system edit form captures MRI screen, prerequisites, associated screens, client note and links
And the change is undoable.",5,1,editing;system-view;MoSCoW-Must,Edit Mode Content Authoring
User Story,Capture a client note on an item,"As a Client SME / Reviewer, I want to record a client-specific note on any item (editable only in Edit Mode), so that engagement context is retained.","Given I am editing an item in Edit Mode
When I enter a client note and save
Then the note is stored on the item and shown read-only in the detail panel
And it is captured in the saved version and in undo.",3,2,editing;versioning;MoSCoW-Should,Edit Mode Content Authoring
User Story,Save a named client version,"As an Engagement Lead, I want to save a named snapshot of the engagement, so that each client's tailoring is preserved.","Given I have made changes
When I save a named version
Then a snapshot is stored capturing business and system content, links, coverage/scope tags, client notes and module visibility
And the version appears in the versions list.",5,1,versioning;MoSCoW-Must,Client Versions
User Story,"Load, rename and delete versions","As an Engagement Lead, I want to load, rename and delete saved versions, so that I can manage multiple clients.","Given saved versions exist
When I load a version
Then the app restores that version's content, links, tags and visibility across all views
And I can rename or delete a version from the versions list.",3,1,versioning;MoSCoW-Must,Client Versions
User Story,Undo recent changes,"As an Implementation Consultant, I want to undo my recent changes, so that I can recover from mistakes during editing.","Given I have made one or more changes in Edit Mode
When I choose Undo
Then the most recent change is reverted (up to the retained history limit)
And the view restores to the correct tab/perspective for that change.",3,2,editing;MoSCoW-Should,Client Versions
User Story,Reset to original content,"As an Engagement Lead, I want to reset to the original factory content, so that I can start a client from a clean baseline.","Given content has been changed
When I choose Reset
Then the active content is restored to the original factory taxonomy
And saved versions are unaffected.",2,3,versioning;MoSCoW-Could,Client Versions
User Story,Toggle module and stream visibility,"As an Engagement Lead, I want to hide modules/streams that are out of scope for a client, so that the app and exports show only what's relevant.","Given I am configuring a client
When I toggle a module/stream off
Then it is hidden from the view and from exports
And the visibility choice is saved with the version.",3,3,versioning;MoSCoW-Could,Module & Stream Visibility
User Story,Export to Word,"As an Implementation Consultant, I want to export the current tab or all visible tabs to Word, so that I can deliver a document to the client.","Given content is loaded
When I generate a Word document for the current or all visible tabs
Then a Word file is produced containing the selected content
And system docs include a scope summary and respect scope tags
And business docs include market/vertical/standards and respect the filter selection.",5,2,export;MoSCoW-Should,Word & PDF Export
User Story,Export to PDF,"As an Implementation Consultant, I want to export to PDF, so that I can share a fixed-format document.","Given content is loaded
When I generate a PDF for the current or all visible tabs
Then a PDF is produced reflecting the same scope and filter rules as the Word export.",3,2,export;MoSCoW-Should,Word & PDF Export
User Story,Select the target ERP,"As a Product Admin, I want to choose which ERP the system view maps against, so that the same business processes can be mapped to different ERPs.","Given more than one ERP taxonomy is available
When I select an ERP
Then the System view and link set switch to that ERP
And the Mapping view reflects the selected ERP.",8,4,future;multi-erp;MoSCoW-Wont,Yardi as a Second ERP
User Story,Share a client version between users,"As an Engagement Lead, I want to export and import client versions, so that engagements can move between machines and teammates.","Given a saved version exists
When I export it
Then a portable file is produced
And importing it on another machine recreates the version faithfully.",5,4,future;versioning;MoSCoW-Wont,Version Sharing
